# INSTRUCTIONS
# ------------
# Fill columns below for each test_id:
#   gold_intent: order_tracking_delay | damaged_defective_item | billing_unauthorized_charge |
#                legal_regulatory_churn | account_access_security | general_inquiry
#   gold_decision: AUTO_REPLY or ESCALATE
#   gold_reason: leave NONE for AUTO_REPLY, else a short reason (e.g. 'PII order id', 'legal threat')
#   required_routing: team to route to if ESCALATE, else NA
#   forbidden_elements: comma-separated list of things the reply MUST NOT contain
#                       (e.g. 'order id PII', 'email', 'legal admission', 'refund promise')
#   agent_notes: free text for ambiguity/tricky cases
# Do not modify test_id, input_tweet or expected_language.
# The source_intent column is only the sampling bucket, NOT the gold label.
test_id,input_tweet,expected_language,gold_intent,gold_decision,gold_reason,required_routing,forbidden_elements,agent_notes,source_intent
114,amazon india Hi. What kind of people you employ ? Check out the chat transcripts of my order no. 405-3392140-7451513,en,,,,,,,pii_leak
115,"@AmazonHelp Not only do your couriers suck at delivery, they also lie thru' their teeth about reasons for non-delivery. e.g. see my feedback on your website about order #171-9453266-8440318.",en,,,,,,,pii_leak
116,@115851 Order# 404-6901064-4338704 I got d msg that product is out for delivery but agent didnt pick call n he did fraud n updated dat Item marked as rejected by me Mr Tarun from ur team is useless n debating that i need to reorder why i shud be harassed @115821 @AmazonHelp,en,,,,,,,pii_leak
117,@AmazonHelp @115850 Money has been deducted for ORDER # 406-7140461-3037926 and order stands cancelled. https://t.co/176gfuz7AY,en,,,,,,,pii_leak
118,@AmazonHelp Order no. - 402-7904169-6240325. This has happened couple of times. Your customer care says we can’t track the order. Pls chk order,en,,,,,,,pii_leak
119,"Hello @115850 @AmazonHelp Order# 405-2192790-6798713 is not been received in my hand, but status showing delivered to the customer.  Please check &amp; do the needful at the earliest. https://t.co/Vg1ibsZF19",en,,,,,,,pii_leak
120,@115850 Again bad experience .Its about ordno 408-1798023-9355553. trying to cancel or changing the address but not able to do. plz conact,en,,,,,,,pii_leak
121,勝手にクレジットから金引き下ろされててAmazonプレミアム会員になってたんだが。。,ja,,,,,,,ja
122,28日着予定の荷物が届かないんだけどどーなってんの？Amazonさん,ja,,,,,,,ja
123,@AmazonHelp こちらこそいつもありがとうございます☺️,ja,,,,,,,ja
124,これが世に聞くアマゾンのフィッシングメールという奴がとうとう来たか… https://t.co/VhSRqRCo5g,ja,,,,,,,ja
125,アマゾンプライムでホビット観る〜,ja,,,,,,,ja
126,Amazonで頼んだグラブルのBlu-ray7巻が個人情報の欄でみたら発送完了になってるのにきてないんだが？,ja,,,,,,,ja
127,"@116313 6,900円では？？",ja,,,,,,,ja
128,アマゾンが発送するから大丈夫だと思ってた私がいました,ja,,,,,,,ja
129,密林のコンビニ支払いのメール5時間経ってもまだ届かないですけどお,ja,,,,,,,ja
130,楽しみにしてたミニスーファミがAmazonのシステムエラーで届かないっぽい。とても悲しい。赤ちゃんの胎動は復活したのでそれは良かった。ミニスーファミ喪失による悲しみが届いて励ましてくれてるのかい、マメ。,ja,,,,,,,ja
131,@AmazonHelp アップデート確認できました。ちゃんと横位置で使えるようになりました。  ありがとうございます😊。,ja,,,,,,,ja
132,@401420 Amazonでのイヤホンの注文の支払い方法、、アマギフは登録出来たのだけれど代引きも無いしクレジットカードか携帯支払いって出て、でもアマギフ使うと携帯支払い出来なくてクレカも無いので注文の仕方がわかりません(´；ω；｀),ja,,,,,,,ja
133,アマゾンで何も買ってないのにアマゾン宛で不在票入ってたんだけど何これ,ja,,,,,,,ja
134,アマゾンプライムビデオが有能すぎてアニメ消化捗る,ja,,,,,,,ja
135,Amazonでタブレット注文してコンビニ受取にしてたはずなのに追跡であさっての方向に行っちゃったのどうすればいいんだろう,ja,,,,,,,ja
136,まじかAmazonプライム有能,ja,,,,,,,ja
137,@AmazonHelp 丁寧なリプを頂きましてありがとうございます。 プライムは特にアマゾンズシリーズを視聴する為に更新していますが、お急ぎ便のサービスや他プライム作品も多く、快適に利用させて頂いています^ ^ これからもよろしくお願い致します^ ^,ja,,,,,,,ja
138,しごおわ～♪  帰ったらAmazonからサントラ届いてたっ(≧ω≦),ja,,,,,,,ja
139,@AmazonHelp ごめんなさい,ja,,,,,,,ja
140,アマゾンプライムで戦車道！！ https://t.co/siRMba4bIP,ja,,,,,,,ja
141,@AmazonHelp No han podido validar un num de tel y dirección del titular de la tarjeta y ya mandaron por correo la información y no recibimos respuesta,es,,,,,,,es
142,@115821 Y hasta dento de un mes no voy a poder abrirlo 😔,es,,,,,,,es
143,@116875 tienen Monster Hunter Collection Edition para Ps4 con envío a México? #MHWorld,es,,,,,,,es
144,Mis dos últimos pedidos con @116928 parece que están gafados. Sin embargo que tranquilidad da su compromiso con el cliente.Muchas gracias,es,,,,,,,es
145,@116928 Poned plástico de burbujas para proteger los libros! Vienen con unos golpes que duelen sólo de mirarlos.,es,,,,,,,es
146,@55429 @116928  Muchas gracias! 😊😉 https://t.co/XfobV7VkbQ,es,,,,,,,es
147,@AmazonHelp Si pero la edición especial ... es que ya está en preventa en Amazon usa por eso preguntaba ...👀 cuando la tendrán en México ?,es,,,,,,,es
148,"@116875 hola un teléfono donde me pueda comunicar con uds, me llego un mail de especialista Amazon solicitando mi edo de cuenta. Quiero saber si esto es real",es,,,,,,,es
149,@128093 @116875 Hace un mes eran una maravilla. Y se suponía que Amazon Logistics era confiable.,es,,,,,,,es
150,@AmazonHelp Es mayor a 300 pesos! No creo que sea autorización,es,,,,,,,es
151,Me compré ayer el libro de #ATC en @116928 y teniendo Prime no me llega hoy... No sé para que pago 🙄😑🙁,es,,,,,,,es
152,"@AmazonHelp Sí, es un Fire TV Stick vendido por Amazon",es,,,,,,,es
153,@AmazonHelp A ver si hay suerte y encuentro una Switch a 10 euretes &lt;3,es,,,,,,,es
154,"Hola @115821, si te instalas en Argentina y no vendes tickets de reventa, creo que estoy para trabajarte unas horas gratis y todo",es,,,,,,,es
155,"@AmazonHelp Parece un chiste... Porque cualquiera de las opciones de ese link me pide que ingrese, que es justamente lo que el sitio no me deja. Ayuda?",es,,,,,,,es
156,@AmazonHelp Déja quand je leur pose une simple question ils me disent qu'il leur faut 5 jours pour pouvoir me répondre alors leur demander une étiquette de retour ça risque de prendre 7 jours mdr,fr,,,,,,,fr
157,"Yep @AmazonHelp, pouvez-vous consulter vos DM (et accessoirement y répondre...)",fr,,,,,,,fr
158,@AmazonHelp oui une enquête a été ouverte cependant j'avais besoin de ce téléphone dans les temps En attendant je peux pas l'acheter ailleur,fr,,,,,,,fr
159,"Dites donc @120533 il faudrait penser à revoir vos partenaires de livraison... c'est la 2e fois que le livreur de @120534 ne me livre pas ma commande, sans aucune explication... et après c'est à moi de les contacter via appel payant ! N'abusez pas non plus !",fr,,,,,,,fr
160,"@AmazonHelp D'accord merci, il y aura des offres sur des produits récents ? Ou c'est secret pour l'instant ? ;)",fr,,,,,,,fr
161,"@AmazonHelp Eheh, vous êtes super fort ! Ça fait plaisir que vous teniez toujours vos délais ! (Bon après y'a vos prestataires comme colis Privé qui sont complètement à la ramasse mais vous n'y êtes pour rien )",fr,,,,,,,fr
162,Merci @120533 d’avoir livré mon colis chez mon voisin QUE JE CONNAIS MÊME PAS ET JE NE SAIS PAS OÙ IL HABITE,fr,,,,,,,fr
163,@AmazonHelp Nous avons effectivement effectué des recherches qui se sont avérées sans résultat !,fr,,,,,,,fr
164,@AmazonHelp Voilà le bon numéro C30006369103 😊,fr,,,,,,,fr
165,@AmazonHelp Ok et les reduction c’est sur quel produit  pour Black Friday car j’ai un pc en liste d achat ?,fr,,,,,,,fr
166,"@AmazonHelp Vu tous les tweets que je viens de lire, c'est inadmissible que Amazon prenne encore @120535 pour ses envois. Laissez nous le choix du transporteur au pire ...",fr,,,,,,,fr
167,@AmazonHelp @378626 @AmazonHelp j ai exactement le même problème avec seul Firefox 56 en allant sur amazon.de et/ou .fr  SEC_ERROR_OCSP_INVALID_SIGNING_CERT,fr,,,,,,,fr
168,"@AmazonHelp Ok, merci, je me connecte et j'annule ma commande...",fr,,,,,,,fr
169,@AmazonHelp C'est pas contre vous j'en ai juste ras le bol de cette boite qui m'oblige à rester chez moi pour réceptionné le colis parce qu'ils sont pas capable d'être ponctuel ou d'avoir un suivi à jour. C'est mon jour de repos j’attends mon colis à  la maison...,fr,,,,,,,fr
170,"@AmazonHelp Oui, j'ai reçu un mail ce matin me disant que l'article était expédié et qu'il arriverai Jeudi. :/",fr,,,,,,,fr
171,@AmazonHelp O livro do Poe!!,pt,,,,,,,pt
172,Os habéis cagado hijos @116928,pt,,,,,,,pt
173,"agora tem @117086 aqui, que maravilha 💸",pt,,,,,,,pt
174,@AmazonHelp são donos do melhor atendimento e preços💕,pt,,,,,,,pt
175,"@117086 Outlander. Li todos os livros de disponíveis! Adoro ler e depois, assistir.",pt,,,,,,,pt
176,"O rastreamento da @AmazonHelp diz que o produto tá em João Pessoa, mas mandou e-mail dizendo que já fez a 1ª tentativa de entrega em CG.",pt,,,,,,,pt
177,Serviço de atendimento da @117086 é muito ruim. Estou a mais de 15min esperando atenderem a ligação. Sendo que ja tinha ligado outros dias,pt,,,,,,,pt
178,ei @115821 libera aí os eps da terceira temp de mr robot,pt,,,,,,,pt
179,"@AmazonHelp Até 1° de dezembro, se tudo der certo. :3",pt,,,,,,,pt
180,"@AmazonHelp Ele está 'preparado para remessa', é pra enviar amanhã de acordo com o e-mail que eu recebi, vou ver o site então, obg",pt,,,,,,,pt
181,@AmazonHelp [PT-BR] Quanto tempo leva para os produtos inseridos no MarketPlace ficarem disponiveis para compra? Obrigada!,pt,,,,,,,pt
182,@115821 você me odeia?,pt,,,,,,,pt
183,@AmazonHelp Foi dito q o livro está em encomenda é quando chegar no estoque me enviam. Mas não foi dado prazo algum.,pt,,,,,,,pt
184,"@AmazonHelp Consegui contato, obrigada. :)",pt,,,,,,,pt
185,"@115821 parabéns pelas entregas , meus livros chegaram em 2 dias uteis !",pt,,,,,,,pt
186,@115850हमारे प्रधानमंत्री जी Cashless India को Promote कर रहे है और Amazon cashless की धज्जियाँ उड़ा रही है.payment के बाद Delivery की नही https://t.co/cXJxkQgByS,hi,,,,,,,hi
187,@128308 @12379 Amazonने मेरी समस्या का हल नहीं निकला। यहाँ जो माल ग्राहक को भेजा जाता उसमें धोखा धड़ी है। मुझे iPhone डुप्लीकेट भेजा और उसकी शिकायत नहीं,hi,,,,,,,hi
188,"कोई समझा सकता है कि गोबर,ऑर्गैनिक (Organic)या इनॉर्गैनिक (Inorganic) कैसे हो सकता है😂यानी @115850 मशीन से बना इनॉर्गैनिक गोबर बेचते है 😂 https://t.co/Gb1uLHvCPB",hi,,,,,,,hi
